FIPS,Dems,Repub
13005,817,3089
13007,846,828
13009,8587,7823
13011,1027,5120
13013,6657,17625
13015,9662,25976
13017,2590,3417
13019,1468,4889
13021,38851,26981
13023,1380,3657
13025,1119,5080
13027,2669,3507
13029,3630,9105
13031,9586,14174
13033,5233,4344
13035,3064,5944
13037,1342,862
13039,6482,10502
13043,1209,2286
13045,14334,28661
13047,6025,18218
13049,1193,2458
13051,62755,46829
13053,830,811
13055,2591,5564
13057,22350,70279
13059,29513,15309
13061,879,558
13063,82527,16506
13065,989,1678
13067,141216,170957
13069,4811,8872
13071,4139,9185
13073,15703,39322
13075,2075,3782
13077,15521,37571
13079,1832,3358
13081,3078,4423
13083,1608,4698
13085,1632,8242
13087,4424,5890
13089,254594,65581
13091,2595,5543
13093,2138,1991
13095,26135,12547
13097,27825,26812
13099,2602,2709
13101,201,981
13103,4936,15230
13105,3366,4868
13107,3068,5110
13109,1374,2462
13111,2611,7807
13113,20313,38501
13115,10691,23132
13117,15406,59166
13119,1910,6054
13121,272000,130136
13123,2614,8408
13125,210,1202
13127,12676,20479
13129,4268,13113
13131,3539,5775
13133,3339,4532
13135,129025,158746
13137,2900,11766
13139,14457,44962
13141,3535,795
13143,2248,8658
13145,4179,10645
13147,3365,6537
13149,1042,3133
13151,40527,47115
13153,22094,33392
13155,1197,2605
13157,4950,17776
13159,1935,3916
13161,1350,3847
13163,4149,3061
13165,1482,1936
13167,1198,2426
13169,4572,7782
13171,2745,4871
13173,1062,1787
13175,7769,12052
13177,3100,9923
13179,10474,5828
13181,1650,2731
13183,1288,2119
13185,17405,21085
13187,2586,8326
13193,3251,1712
13195,2957,8224
13197,1381,1772
13189,3989,5400
13191,2905,3282
13199,4465,4982
13201,809,1897
13205,3872,4201
13207,4106,7933
13209,1045,2521
13211,3091,5987
13213,3026,8180
13215,44158,29568
13217,20827,20337
13219,4825,12120
13221,2232,4144
13223,17229,39192
13225,5927,5173
13227,2595,10004
13229,1253,5500
13231,1574,6542
13233,4052,9850
13235,1377,2553
13237,3102,5966
13239,597,509
13241,2001,5487
13243,1833,1370
13245,52100,26842
13247,20421,16860
13249,479,1252
13251,3024,3423
13253,1657,2315
13255,10141,14885
13257,2705,7689
13259,1305,783
13261,6444,5713
13263,2367,1300
13265,643,339
13267,1932,4730
13269,1533,2019
13271,1862,2486
13273,2501,1890
13275,7720,10642
13277,4749,9431
13279,2964,6658
13281,1391,4292
13283,1112,1826
13285,10438,15374
13287,1427,2096
13289,2402,2087
13291,2486,8007
13293,4050,7282
13295,6094,17101
13297,8469,27253
13299,4034,8311
13301,1554,1087
13303,4607,4216
13305,2858,7601
13307,515,588
13309,794,1408
13311,2174,8467
13313,8167,19230
13315,978,2159
13317,2315,2705
13319,2298,2349
13321,2540,5777
15001,50808,14865
15003,213977,88049
15007,20408,6243
15009,39725,11152
16001,82023,92879
16003,728,1515
16005,14792,19356
16007,502,2377
16009,1407,2646
16011,4424,12230
16013,6947,3439
16015,1240,2433
16017,7840,11145
16019,11415,29324
16021,1474,3098
16023,318,1056
16025,187,422
16027,20147,42752
16029,553,2656
16031,1305,6240
16033,64,305
16035,1211,2569
16037,620,1704
16039,2523,5571
16041,599,4231
16043,1065,4700
16045,2166,5585
16047,1485,3764
16049,1935,5895
16051,1641,8540
16053,1794,4897
16055,22120,38387
16057,9191,7984
16059,796,2938
16061,479,1275
16063,497,967
16065,1625,11120
16067,1137,3976
16069,7123,10357
16071,381,1724
16073,944,3024
16075,2415,5988
16077,1027,1754
16079,2521,2953
16081,2302,2263
16083,8621,19032
16085,2394,2750
16087,1241,3168
17001,11700,18592
17003,2189,1692
17005,3832,3938
17007,11324,10396
17009,985,1541
17011,8872,7902
17013,1421,1221
17015,3956,3589
17017,2690,2617
17019,48351,33748
17021,6912,7869
17023,3737,4406
17025,2423,3924
17027,7653,9348
17029,11704,10962
17031,1582973,477038
17033,3877,5067
17035,2052,3155
17037,25765,18260
17039,3299,4345
17041,3226,5001
17043,227416,182860
17045,3737,4393
17047,1140,2136
17049,5256,11313
17051,3963,5493
17053,2226,4075
17055,8873,9390
17057,9722,6244
